user,depositNumber,stakingPhase,stakingPeriod,stakingStartDate,stakingEndDate,amount,reward,apy
0xf4d7441c4D2118942F7fB36d55cbC6a9bAB693D8,9,0,7,2026-04-08T12:29:43.000Z,2026-04-15T12:29:43.000Z,"1,000,000.00","5,753.42",30
0xc99b9d4bBB924E3DEC23DB4A65cADD250845e8Db,9,0,7,2026-04-08T12:27:45.000Z,2026-04-15T12:27:45.000Z,"1,000,000.00","5,753.42",30
0xD2fB4a17fBF9016258EbFF090BcE3f9B6eB49116,9,0,7,2026-04-08T12:25:37.000Z,2026-04-15T12:25:37.000Z,"1,000,000.00","5,753.42",30
0xF121408Daa6EdF4Db5F67D8adbF9EaF5293569Cd,18,0,7,2026-04-08T11:14:55.000Z,2026-04-15T11:14:55.000Z,"618,509.00","3,558.54",30
0xDbD875E570BAe83E23fc68fce1AeC7d63CeC4aDa,9,0,7,2026-04-08T10:57:11.000Z,2026-04-15T10:57:11.000Z,"1,000,000.00","5,753.42",30
0x66e7315e8470CFDCe48059882eBb867Fd19920f6,17,0,7,2026-04-08T10:15:03.000Z,2026-04-15T10:15:03.000Z,"55,000.00",316.44,30
0x66e7315e8470CFDCe48059882eBb867Fd19920f6,16,0,7,2026-04-04T13:50:15.000Z,2026-04-11T13:50:15.000Z,"17,000.00",97.81,30
0x66e7315e8470CFDCe48059882eBb867Fd19920f6,15,0,7,2026-04-04T06:03:55.000Z,2026-04-11T06:03:55.000Z,"27,500.00",158.22,30
0x3042bf2B6c2001F92b3583C5415d9cA12aCF475B,4,0,7,2026-04-04T00:32:41.000Z,2026-04-11T00:32:41.000Z,"51,200.00",294.58,30
0xc4bb67A5361f1976c6327252A1ec21D2f1555F5B,1,0,7,2026-04-03T20:44:25.000Z,2026-04-10T20:44:25.000Z,"366,300.00","2,107.48",30
0x8a02d0809c7ff6749c4728C811e9c1f2d0351d2f,8,0,7,2026-04-03T19:09:33.000Z,2026-04-10T19:09:33.000Z,"168,000.00",966.58,30
0x8a02d0809c7ff6749c4728C811e9c1f2d0351d2f,7,0,7,2026-04-03T19:01:17.000Z,2026-04-10T19:01:17.000Z,"8,100.00",46.60,30
0x47cABbA9ABf3Ff8a9dDe2Ac3675aB6E029C652c9,11,0,7,2026-04-03T14:10:49.000Z,2026-04-10T14:10:49.000Z,"481,100.00","2,767.97",30
0x412F30D40Cd80c4D6A175bDB07695978605bf247,7,0,7,2026-04-03T13:44:59.000Z,2026-04-10T13:44:59.000Z,"300,000.00","1,726.03",30
0xe52387A28AB7Db9882B3046CE3ABc5855a7425F4,5,0,7,2026-04-03T13:10:21.000Z,2026-04-10T13:10:21.000Z,"1,000,000.00","5,753.42",30
0x4BE3275fb70805698450E7C5eA29cA7CaB732837,8,0,7,2026-04-03T12:53:57.000Z,2026-04-10T12:53:57.000Z,"892,260.00","5,133.55",30
0x24339502739640eB4DFaBfAB7F0ef3314ddC9c60,1,0,7,2026-04-03T12:45:37.000Z,2026-04-10T12:45:37.000Z,"243,588.90","1,401.47",30
0xDCC62Cf1E7c6A242ed3f866FAEFbe8aEb87B28Ec,14,0,7,2026-04-03T11:00:39.000Z,2026-04-10T11:00:39.000Z,"34,500.00",198.49,30
0x840CfdB0b6d47dBBe215202A9d1fb9A165b734bF,11,0,7,2026-04-03T09:54:53.000Z,2026-04-10T09:54:53.000Z,"920,000.00","5,293.15",30
0xF121408Daa6EdF4Db5F67D8adbF9EaF5293569Cd,17,0,7,2026-04-03T08:24:47.000Z,2026-04-10T08:24:47.000Z,"78,415.00",451.15,30
0xf01040A392A63f211a99De380d5c1B665320a863,12,0,7,2026-04-03T05:50:35.000Z,2026-04-10T05:50:35.000Z,"1,000,000.00","5,753.42",30
0xA7D79178942235A34A33e25c379a635a41400F2c,16,0,7,2026-04-02T23:57:39.000Z,2026-04-09T23:57:39.000Z,"1,000,000.00","5,753.42",30
0xE9ce9be409E683A3a867a3A6581053F0DDaB4CA4,18,0,7,2026-04-02T19:39:57.000Z,2026-04-09T19:39:57.000Z,"562,000.00","3,233.42",30
0xd5851b50855DE755fb34C803A862b55423019fa9,5,0,7,2026-04-02T13:16:37.000Z,2026-04-09T13:16:37.000Z,"697,000.00","4,010.14",30
0x4a8b16E99689c6F1d55B922eEb1806327C1C9d3D,8,0,7,2026-04-02T10:14:31.000Z,2026-04-09T10:14:31.000Z,"1,000,000.00","5,753.42",30
0x9e618986a6513EE8Fd67dEd0DD6d18bB17D1bd97,7,0,7,2026-04-02T09:52:31.000Z,2026-04-09T09:52:31.000Z,"1,000,000.00","5,753.42",30
0xCBCB8439a22a01847757ceb784016083Cb6a0f65,8,0,7,2026-04-02T09:08:13.000Z,2026-04-09T09:08:13.000Z,"1,000,000.00","5,753.42",30
0xF121408Daa6EdF4Db5F67D8adbF9EaF5293569Cd,16,0,7,2026-04-02T07:30:45.000Z,2026-04-09T07:30:45.000Z,"52,291.00",300.85,30
0x66e7315e8470CFDCe48059882eBb867Fd19920f6,14,0,7,2026-04-02T07:00:41.000Z,2026-04-09T07:00:41.000Z,"500,000.00","2,876.71",30
0xa339b415398928f2C48c19f90b8e2804D7D29ecF,5,0,7,2026-04-02T04:27:11.000Z,2026-04-09T04:27:11.000Z,"1,000,000.00","5,753.42",30
